player_name,TS_pct,heightInCm,weightInKg
Jared Cunningham,0.48,193,88.5
Jared Dudley,0.571,200.7,103.4
Jared Harper,0.25,177.8,79.4
Jared Jeffries,0.456,210.8,108.4
Jared Reiner,0.34,210.8,115.7
Jared Sullinger,0.475,205.7,117.9
Jared Terrell,0.372,190.5,103
Jarell Eddie,0.328,200.7,98.9
Jarell Martin,0.514,208.3,108.4
Jaren Jackson Jr.,0.591,210.8,109.8
Jarnell Stokes,0.657,205.7,118.1
Jaron Blossomgame,0.51,203.2,99.8
Jarred Vanderbilt,0.595,205.7,97.1
Jarrett Allen,0.642,210.8,108
Jarrett Culver,0.463,198.1,88.5
Jarrett Jack,0.552,190.5,90.1
Jarrod Uthoff,0.371,205.7,100
Jarron Collins,0.479,210.8,112.8
Jarvis Hayes,0.509,203.2,102.2
Jarvis Varnado,0.527,205.7,104.3
Jason Collier,0.494,213.4,117.9
Jason Collins,0.438,213.4,115.9
Jason Hart,0.463,190.5,82.8
Jason Kapono,0.501,203.2,97.4
Jason Kidd,0.526,193,95.3
Jason Maxiell,0.501,200.7,117.9
Jason Richardson,0.528,198.1,102.1
Jason Smith,0.509,213.4,109.1
Jason Terry,0.562,188,82.3
Jason Thompson,0.533,210.8,113.4
Jason Williams,0.514,185.4,82.4
JaVale McGee,0.579,213.4,118.5
Javaris Crittenton,0.493,195.6,90.7
Javonte Green,0.558,193,93
Jawad Williams,0.464,205.7,99.9
Jawun Evans,0.318,182.9,86.2
Jaxson Hayes,0.675,210.8,99.8
Jaylen Adams,0.474,188,86.2
Jaylen Brown,0.559,200.7,101.3
Jaylen Hoard,0.504,203.2,98
Jaylen Morris,0.449,195.6,83.9
Jaylen Nowell,0.487,193,91.2
Jayson Tatum,0.566,203.2,94.2
Jeff Adrien,0.498,201,111
Jeff Ayres,0.58,205.7,111.9
Jeff Foote,0.333,213.4,120.2
Jeff Foster,0.539,210.8,112.9
Jeff Green,0.541,205.7,106.6
Jeff McInnis,0.464,193,83.7
Jeff Teague,0.54,190.5,83.9
Jeff Withey,0.554,213.4,104.2
Jeffery Taylor,0.483,200.7,102.1
Jelani McCoy,0.646,208.3,111.1
Jemerrio Jones,0.398,195.6,78.9
Jerami Grant,0.552,205.7,96.8
Jerel McNeal,0.379,190.5,90.7
Jeremy Evans,0.679,205.7,89.5
Jeremy Lamb,0.535,195.6,83.3
Jeremy Lin,0.546,190.5,90.7
Jeremy Pargo,0.475,188,99.3
Jeremy Richardson,0.494,200.7,88.5
Jeremy Tyler,0.462,208.3,116.4
Jerian Grant,0.522,193,90.3
Jermaine Jackson,0.543,195.6,92.5
Jermaine O'Neal,0.52,210.8,115.9
Jermaine Taylor,0.498,193,95.3
Jermareo Davidson,0.466,208.3,104.3
Jerome Dyson,0.525,190.5,81.6
Jerome James,0.581,215.9,127.2
Jerome Jordan,0.585,213.4,111.8
Jerome Moiso,0.59,208.3,117.9
Jerome Robinson,0.467,195.6,86.2
Jerome Williams,0.563,205.7,93.4
Jerry Smith,0.25,188,86.2
Jerry Stackhouse,0.482,198.1,98.9
Jerryd Bayless,0.513,190.5,91
Jevon Carter,0.482,188,89.8
Jim Jackson,0.459,198.1,99.8
Jimmer Fredette,0.512,188,88.5
Jimmy Butler,0.566,203.2,102.3
Jiri Welsch,0.5,200.7,94.3
JJ Hickson,0.533,205.7,109.8
JJ Redick,0.596,193,87.2
Joakim Noah,0.53,210.8,105
Jodie Meeks,0.56,193,94.8
Joe Alexander,0.384,203.2,104.3
Joe Crawford,0.414,195.6,95.3
Joe Harris,0.556,198.1,99.8
Joe Ingles,0.583,203.2,101.3
Joe Johnson,0.536,200.7,107.9
Joe Smith,0.475,208.3,102.1
Joe Young,0.461,188,82.4
Joel Anthony,0.562,205.7,111.1
Joel Bolomboy,0.556,205.7,106.6
Joel Embiid,0.585,213.4,116.8
Joel Freeland,0.485,208.3,102.1
Joel Przybilla,0.525,215.9,113.1
Joey Dorsey,0.498,205.7,122.4
Joey Graham,0.546,200.7,102.4
Joffrey Lauvergne,0.518,210.8,104.3
Johan Petro,0.484,213.4,112
John Collins,0.636,208.3,106.6
John Edwards,0.455,213.4,124.7
John Henson,0.558,210.8,101.8
John Jenkins,0.553,193,97.5
John Konchar,0.702,195.6,95.3
John Lucas III,0.405,180.3,75.9
John Salmons,0.512,198.1,94
John Thomas,0.485,205.7,120.2
John Wall,0.517,193,90.7
Johnathan Motley,0.629,208.3,104.3
Johnathan Williams,0.621,205.7,103.4
Johnny O'Bryant III,0.468,205.7,117.5
Jon Barry,0.562,195.6,95.3
Jon Brockman,0.497,200.7,115.7
Jon Leuer,0.537,208.3,103.4
Jonah Bolden,0.494,208.3,100.9
Jonas Jerebko,0.555,208.3,104.8
Jonas Valanciunas,0.613,213.4,114.1
Jonathan Bender,0.6,213.4,101
Jonathan Gibson,0.616,188,83.9
Jonathan Isaac,0.515,210.8,98.3
Jonathon Simmons,0.528,198.1,88.5
Jonny Flynn,0.466,182.9,83.9
Jordan Adams,0.458,195.6,94.8
Jordan Bell,0.583,205.7,100.4
Jordan Bone,0.3,190.5,81.6
Jordan Clarkson,0.539,195.6,87.3
Jordan Crawford,0.526,195.6,88.5
Jordan Farmar,0.525,188,81.6
Jordan Hamilton,0.509,200.7,99.8
Jordan Hill,0.518,208.3,106.9
Jordan Loyd,0.635,193,95.3
Jordan McLaughlin,0.588,180.3,83.9
Jordan McRae,0.529,195.6,81.2
Jordan Mickey,0.462,203.2,106.6
Jordan Poole,0.448,193,88
Jordan Williams,0.544,208.3,117.9
Jorge Garbajosa,0.472,205.7,111.1
Jorge Gutierrez,0.595,190.5,87.5
Jose Calderon,0.56,190.5,93.7
Josh Akognon,0.625,180.3,83.9
Josh Boone,0.538,208.3,108.7
Josh Childress,0.474,203.2,95.2
Josh Davis,0.438,203.2,107.7
Josh Gray,0.425,185.4,81.6
Josh Harrellson,0.519,208.3,124.7
Josh Hart,0.562,195.6,97.5
Josh Howard,0.501,200.7,95.3
Josh Huestis,0.513,200.7,104.3
Josh Jackson,0.497,203.2,91.8
Josh Magette,0.421,185.4,72.6
Josh McRoberts,0.482,208.3,108.9
Josh Okogie,0.523,193,96.4
Josh Powell,0.468,205.7,106.9
Josh Richardson,0.535,198.1,90.7
Josh Selby,0.388,188,83
Josh Smith,0.482,205.7,104.3
JR Smith,0.528,198.1,100.5
Jrue Holiday,0.526,193,89.9
Juan Carlos Navarro,0.54,190.5,77.1
Juan Dixon,0.503,190.5,74.6
Juan Toscano-Anderson,0.537,198.1,94.8
Juancho Hernangomez,0.549,205.7,102.5
Julian Washburn,0.402,203.2,94.8
Julian Wright,0.526,203.2,102.1
Julius Hodge,0.469,200.7,97.5
Julius Randle,0.504,205.7,113.4
Julyan Stone,0.652,198.1,90.7
Jumaine Jones,0.483,203.2,100.7
Junior Harrington,0.453,193,86.2
Justin Anderson,0.467,198.1,104.1
Justin Hamilton,0.562,213.4,115.7
Justin Harper,0.472,208.3,102.1
Justin Holiday,0.51,198.1,83.3
Justin Jackson,0.526,203.2,96.8
Justin James,0.487,200.7,86.2
Justin Patton,0.422,213.4,108.6
Justin Reed,0.495,203.2,108.9
Justin Robinson,0.542,185.4,88.5
Justin Williams,0.493,208.3,111.1
Justise Winslow,0.467,200.7,101.8
Jusuf Nurkic,0.514,213.4,126.6
Juwan Howard,0.486,205.7,111.8
Juwan Morgan,0.559,200.7,105.2
Kadeem Allen,0.484,190.5,90.7
Kalin Lucas,0.266,185.4,86.4
Kaniel Dickens,0.385,203.2,97.5
Kareem Rush,0.461,198.1,97.5
Karl-Anthony Towns,0.624,213.4,111.8
Kasib Powell,0.424,200.7,97.5
Kawhi Leonard,0.591,200.7,103.6
Kay Felder,0.421,175.3,79.8
Kedrick Brown,0.577,200.7,100.7
Keita Bates-Diop,0.515,205.7,103.9
Keith Appling,0.338,185.4,83.9
Keith Bogans,0.55,195.6,97.5
Keith Langford,0.25,193,97.5
Keith McLeod,0.475,188,86.2
Keith Van Horn,0.545,208.3,111.1
Kelan Martin,0.506,195.6,104.3
Keldon Johnson,0.579,195.6,99.8
Kelenna Azubuike,0.546,195.6,99.3
Kelly Olynyk,0.591,213.4,108.7
Kelly Oubre Jr.,0.534,200.7,92.8
Kelvin Cato,0.499,210.8,124.7
Kemba Walker,0.533,185.4,83.5
Kendall Gill,0.479,195.6,98
Kendall Marshall,0.49,193,89.6
Kendrick Nunn,0.54,188,86.2
Kendrick Perkins,0.535,208.3,124.4
Kenneth Faried,0.581,203.2,103
Kenny Anderson,0.467,185.4,76.2
Kenny Thomas,0.471,200.7,111.1
Kenrich Williams,0.458,200.7,95.3
Kent Bazemore,0.512,195.6,90.8
Kentavious Caldwell-Pope,0.535,195.6,92.9
Kenyon Martin,0.506,205.7,107.4
Kerry Kittles,0.446,195.6,83.9
Kevin Burleson,0.367,190.5,93
Kevin Durant,0.614,205.7,105.8
Kevin Garnett,0.545,210.8,110.5
Kevin Huerter,0.537,200.7,86.2
Kevin Jones,0.418,203.2,117.9
Kevin Knox II,0.47,205.7,97.5
Kevin Love,0.564,208.3,114.9
Kevin Martin,0.571,200.7,85.6
Kevin Murphy,0.268,198.1,83.9
Kevin Ollie,0.469,190.5,88.5
Kevin Porter Jr.,0.535,193,92.1
Kevin Seraphin,0.51,208.3,125.5
Kevin Willis,0.433,213.4,111.1
Kevinn Pinkney,0.501,208.3,111.1
Kevon Looney,0.565,205.7,100
Keyon Dooling,0.536,190.5,88.2
Khem Birch,0.585,205.7,103.7
Khris Middleton,0.565,203.2,102.2
Khyri Thomas,0.404,190.5,95.3
Kim English,0.477,198.1,90.7
Kirk Hinrich,0.512,193,86.2
Kirk Penney,0.333,195.6,99.8
Kirk Snyder,0.526,198.1,102.1
KJ McDaniels,0.524,198.1,93
Klay Thompson,0.573,200.7,95.8
Kobe Bryant,0.54,198.1,95.2
Kosta Koufos,0.535,213.4,119.4
Kosta Perovic,0.396,218.4,108.9
Kostas Papanikolaou,0.454,203.2,106.6
Kris Dunn,0.479,193,93.6
Kris Humphries,0.505,205.7,106.6
Kris Joseph,0.257,200.7,95.3
Kristaps Porzingis,0.539,221,108.9
Kurt Thomas,0.515,205.7,106.1
Kwame Brown,0.517,210.8,121
Ky Bowman,0.486,185.4,84.8
Kyle Anderson,0.523,205.7,104.3
Kyle Collinsworth,0.433,198.1,95.3
Kyle Guy,0.5,185.4,75.7
Kyle Korver,0.607,200.7,96
Kyle Kuzma,0.538,205.7,99.9
Kyle Lowry,0.562,185.4,90.5
Kyle O'Quinn,0.548,208.3,112.8
Kyle Singler,0.5,203.2,103.7
Kyle Weaver,0.516,198.1,91.2
Kyle Wiltjer,0.437,208.3,108.9
Kyrie Irving,0.572,190.5,87.4
Kyrylo Fesenko,0.487,215.9,131.4
KZ Okpala,0.595,203.2,97.5
Lamar Odom,0.527,208.3,104.1
Lamar Patterson,0.372,195.6,102.1
LaMarcus Aldridge,0.544,210.8,111.5
Lamond Murray,0.515,200.7,106.6
Lance Allred,0.307,210.8,113.4
Lance Stephenson,0.487,198.1,102.7
Lance Thomas,0.489,203.2,104.6
Landry Fields,0.512,200.7,97.1
Landry Shamet,0.608,195.6,85.7
Langston Galloway,0.519,188,90.7
Laron Profit,0.52,195.6,92.5
Larry Drew II,0.371,188,81.6
Larry Hughes,0.461,195.6,83.7
Larry Nance Jr.,0.58,205.7,105.7
Larry Owens,0.533,200.7,95.3
Larry Sanders,0.472,210.8,105.8
Latrell Sprewell,0.489,195.6,88.5
Lauri Markkanen,0.553,213.4,107.4
Lavoy Allen,0.49,205.7,113.8
Lawrence Funderburke,0.549,205.7,104.3
Lawrence Roberts,0.502,205.7,108.9
Lazar Hayward,0.429,198.1,102.1
Leandro Barbosa,0.548,190.5,88.5
LeBron James,0.594,205.7,112.5
Lee Nailon,0.524,205.7,108.6
Leon Powe,0.562,203.2,108.9
Lester Hudson,0.474,190.5,86.2
Linas Kleiza,0.527,203.2,109.7
Lindsey Hunter,0.405,188,88.5
Linton Johnson,0.392,203.2,96.6
Lionel Chalmers,0.409,182.9,81.6
Lonnie Walker IV,0.481,195.6,92.8
Lonny Baxter,0.374,203.2,117.9
Lonzo Ball,0.486,198.1,86.2
Loren Woods,0.513,218.4,117.9
Lorenzen Wright,0.426,210.8,112.9
Lorenzo Brown,0.406,195.6,86.3
Lou Amundson,0.455,205.7,102.4
Lou Williams,0.547,188,79.4
Louis King,0.448,200.7,93
Luc Mbah a Moute,0.518,203.2,104.3
Lucas Nogueira,0.573,213.4,99.8
Lucious Harris,0.475,195.6,93
Luguentz Dort,0.522,190.5,97.5
Luis Flores,0.586,188,88.5
Luis Scola,0.534,205.7,110.3
Luka Doncic,0.564,200.7,101.6
Luke Babbitt,0.525,205.7,102.1
Luke Harangody,0.436,200.7,112.5
Luke Jackson,0.48,200.7,97.5
Luke Kennard,0.57,195.6,92.5
Luke Kornet,0.529,218.4,113.4
Luke Ridnour,0.514,188,78.4
Luke Schenscher,0.466,215.9,120.2
Luke Walton,0.464,203.2,106.3
Luke Zeller,0.365,210.8,111.1
Luol Deng,0.526,205.7,100.3
Luther Head,0.532,190.5,83.9
Lynn Greer,0.538,188,79.4
Maalik Wayns,0.447,185.4,88.5
Maceo Baston,0.663,208.3,104.3
Maciej Lampe,0.287,210.8,124.7
Malachi Richardson,0.481,198.1,93
Malcolm Brogdon,0.571,195.6,100.7
Malcolm Delaney,0.488,190.5,86.2
Malcolm Lee,0.309,195.6,90.7
Malcolm Miller,0.567,200.7,95.3
Malcolm Thomas,0.405,205.7,102.1
Malik Allen,0.455,208.3,115.7
Malik Beasley,0.55,195.6,87.8
Malik Hairston,0.518,198.1,99.8
Malik Monk,0.508,190.5,90.7
Malik Newman,0.347,190.5,86.2
Malik Rose,0.457,200.7,114.8
Mamadou N'diaye,0.433,213.4,115.7
Mangok Mathiang,0.538,208.3,104.3
Manny Harris,0.426,195.6,83.9
Manu Ginobili,0.586,198.1,93
Marc Gasol,0.557,215.9,118.3
Marc Jackson,0.51,208.3,114.8
Marcelo Huertas,0.453,190.5,90.7
Marcin Gortat,0.566,213.4,108.9
Marco Belinelli,0.542,195.6,92.9
Marcus Banks,0.535,188,92.5
Marcus Camby,0.478,210.8,106.1
Marcus Cousin,0.667,210.8,111.1
Marcus Derrickson,0.653,200.7,112.9
Marcus Fizer,0.529,203.2,117.9
Marcus Georges-Hunt,0.565,198.1,101.2
Marcus Haislip,0.456,208.3,104.3
Marcus Landry,0.487,200.7,104.3
Marcus Morris,0.496,205.7,106.6
Marcus Morris Sr.,0.56,205.7,104
Marcus Paige,0.403,182.9,74.4
Marcus Smart,0.501,193,99.8
Marcus Thornton,0.525,193,93
Marcus Vinicius,0.586,203.2,102.1
Marcus Williams,0.497,200.7,93.7
Mardy Collins,0.424,198.1,99.8
Marial Shayok,0.3,195.6,89.8
Mario Chalmers,0.546,188,86.2
Mario Hezonja,0.511,203.2,99.7
Mario Kasun,0.506,215.9,117.9
Mario West,0.502,195.6,95.3
Mark Blount,0.526,213.4,113.4
Mark Jones,0.325,198.1,97.5
Mark Madsen,0.375,205.7,111.3
Mark Pope,0.333,208.3,106.6
Markel Brown,0.439,190.5,86.2
Markelle Fultz,0.463,193,92.1
Markieff Morris,0.526,208.3,111.1
Marko Guduric,0.515,198.1,91.2
Marko Jaric,0.483,200.7,100.3
Marquese Chriss,0.524,208.3,108.1
Marquis Daniels,0.487,198.1,90.7
Marquis Teague,0.371,188,86
Marreese Speights,0.527,208.3,114.8
Marshall Plumlee,0.609,213.4,113.4
MarShon Brooks,0.545,195.6,90.7
Martell Webster,0.489,200.7,104
Marvin Bagley III,0.537,210.8,106.4
Marvin Williams,0.549,205.7,107.6
Mason Plumlee,0.596,210.8,110.4
Mateen Cleaves,0.43,188,95.3
Matisse Thybulle,0.522,195.6,91.2
Matt Barnes,0.539,200.7,102.5
Matt Bonner,0.585,208.3,107.7
Matt Carroll,0.446,198.1,96.2
Matt Costello,0.5,208.3,108.9
Matt Freije,0.355,208.3,112.9
Matt Harpring,0.543,200.7,104.1
Matt Mooney,0.5,188,90.3
Matt Thomas,0.663,193,86.2
Matt Walsh,0.532,198.1,99.8
Matt Williams Jr.,0.417,195.6,95.3
Matthew Dellavedova,0.505,193,90.3
Maurice Ager,0.455,195.6,91.6
Maurice Evans,0.532,195.6,99.8
Maurice Harkless,0.541,205.7,98.7
Maurice Ndour,0.503,205.7,90.7
Maurice Taylor,0.444,205.7,118.7
Max Strus,0.727,195.6,97.5
Maxi Kleber,0.587,210.8,105.8
Mehmet Okur,0.539,210.8,117.7
Melvin Ely,0.494,208.3,118.3
Melvin Frazier Jr.,0.405,198.1,94.1
Melvin Sanders,0.548,195.6,95.3
Metta World Peace,0.497,200.7,117
Meyers Leonard,0.597,215.9,113.7
Mfiondu Kabengele,0.614,205.7,113.4
Michael Beasley,0.525,208.3,107
Michael Bradley,0.509,208.3,107
Michael Carter-Williams,0.471,198.1,85.9
Michael Curry,0.461,195.6,95.3
Michael Doleac,0.477,210.8,118.8
Michael Finley,0.527,200.7,102.1
Michael Frazier,0.513,190.5,90.7
Michael Kidd-Gilchrist,0.52,200.7,105.2
Michael Olowokandi,0.453,213.4,122.5
Michael Porter Jr.,0.599,208.3,98.9
Michael Redd,0.531,198.1,97.5
Michael Ruffin,0.424,203.2,112.5
Michael Stewart,0.519,208.3,104.3
Michael Sweetney,0.52,203.2,122.5
Mickael Gelabale,0.55,200.7,97.5
Mickael Pietrus,0.531,198.1,97.5
Mickell Gladness,0.436,210.8,99.8
Mikal Bridges,0.588,200.7,95
Mike Bibby,0.525,188,87.3
Mike Conley,0.541,185.4,81.5
Mike Dunleavy,0.557,205.7,104.3
Mike Hall,0.25,203.2,104.3
Mike Harris,0.507,198.1,108
Mike James,0.466,188,85.8
Mike Miller,0.577,203.2,98.3
Mike Muscala,0.569,210.8,108.1
Mike Scott,0.53,203.2,107.5
Mike Taylor,0.477,188,74.8
Mike Tobey,0.25,213.4,117.9
Mike Wilks,0.507,177.8,81.6
Mikki Moore,0.578,213.4,101.7
Miles Bridges,0.537,200.7,102.1
Miles Plumlee,0.529,210.8,114.1
Milos Teodosic,0.561,195.6,88.9
Milt Palacio,0.489,193,95.3
Milton Doyle,0.337,193,81.6
Mindaugas Kuzminskas,0.267,205.7,97.5
Miroslav Raduljica,0.527,213.4,113.4
Mirza Teletovic,0.544,205.7,111
Mitch McGary,0.512,208.3,115.7
Mitchell Creek,0.55,198.1,102.1
Mitchell Robinson,0.706,215.9,108.9
Mo Bamba,0.546,213.4,102.5
Mo Williams,0.531,185.4,86.9
Monta Ellis,0.519,190.5,82.6
Monte Morris,0.616,190.5,80.6
Montrezl Harrell,0.637,203.2,108.9
Moochie Norris,0.428,185.4,83.9
Moritz Wagner,0.598,210.8,111.1
Morris Almond,0.416,198.1,102.1
Morris Peterson,0.516,200.7,99.5
Moses Brown,0.407,218.4,111.1
Mouhamed Sene,0.55,210.8,104.3
Mustafa Shakur,0.259,193,87.3
Mychal Mulder,0.593,190.5,83.5
Mychel Thompson,0.375,198.1,95.7
Myke Henry,0.472,198.1,95.3
Myles Turner,0.561,210.8,112.6
Nando De Colo,0.528,195.6,89.6
Nassir Little,0.508,195.6,99.8
Nate Robinson,0.476,175.3,81.6
Nate Wolters,0.335,193,86.2
Nathan Jawai,0.368,208.3,127
Naz Mitrou-Long,0.774,193,98.9
Naz Reid,0.511,205.7,119.7
Nazr Mohammed,0.514,208.3,113.4
Ndudi Ebi,0.541,205.7,88.5
Nemanja Bjelica,0.577,208.3,105.5
Nemanja Nedovic,0.306,190.5,87.1
Nenad Krstic,0.528,213.4,110.2
Nene,0.538,210.8,114.8
Nerlens Noel,0.59,210.8,101.6
Nick Calathes,0.481,198.1,96.6
Nick Collison,0.579,208.3,115.7
Nick Fazekas,0.584,210.8,106.6
Nick Johnson,0.43,190.5,91.6
Nick Van Exel,0.493,185.4,86.2
Nick Young,0.531,200.7,94.1
Nickeil Alexander-Walker,0.441,195.6,93
Nicolas Batum,0.554,205.7,91.9
Nicolas Claxton,0.577,210.8,97.5
Nicolas Laprovittola,0.579,193,81.6
Nicolo Melli,0.584,205.7,107
Nigel Hayes,0.393,200.7,115.2
Nigel Williams-Goss,0.254,188,86.2
Nik Stauskas,0.527,198.1,93
Nikola Jokic,0.604,213.4,116.5
Nikola Mirotic,0.565,208.3,105.8
Nikola Pekovic,0.549,210.8,129.3
Nikola Vucevic,0.528,213.4,115.4
Nikoloz Tskitishvili,0.371,213.4,102.1
Noah Vonleh,0.527,208.3,111.7
Noel Felix,0.316,205.7,102.1
Nolan Smith,0.435,188,83.9
Norman Powell,0.562,193,97.5
Norris Cole,0.46,188,79.4
Norvel Pelle,0.521,208.3,104.8
O.J. Mayo,0.522,195.6,95.3
Obinna Ekezie,0.516,205.7,122.5
OG Anunoby,0.576,203.2,105.7
Ognjen Kuzmic,0.574,213.4,115.9
Okaro White,0.361,203.2,94.3
Oleksiy Pecherov,0.483,213.4,106.1
Oliver Lafayette,0.583,188,86.2
Omar Cook,0.432,185.4,86.2
Omari Johnson,0.524,205.7,99.8
Omari Spellman,0.534,205.7,111.1
Omer Asik,0.526,213.4,115.7
Omri Casspi,0.549,205.7,102.1
Orien Greene,0.419,193,94.3
Orlando Johnson,0.424,195.6,99.8
Oshae Brissett,0.458,200.7,95.3
Othella Harrington,0.517,205.7,106.6
Othello Hunter,0.448,203.2,102.1
Othyus Jeffers,0.54,195.6,95.3
Otto Porter Jr.,0.546,203.2,89.8
P.J. Brown,0.474,210.8,108.4
P.J. Tucker,0.554,198.1,111.1
P.J. Washington,0.553,200.7,104.3
Pablo Prigioni,0.569,190.5,83.9
Pape Sow,0.457,208.3,113.4
Pape Sy,0.478,200.7,102.1
Pascal Siakam,0.564,205.7,104.3
Pat Burke,0.471,210.8,113.4
Pat Connaughton,0.535,195.6,94.7
Pat Garrity,0.477,205.7,108
Patrick Beverley,0.543,185.4,85
Patrick Christopher,0.25,196,94
Patrick McCaw,0.515,200.7,83.5
Patrick O'Bryant,0.509,213.4,113.3
Patrick Patterson,0.539,205.7,106.1
Patty Mills,0.554,185.4,83.5
Pau Gasol,0.562,213.4,113.1
Paul Davis,0.457,210.8,122.5
Paul George,0.555,205.7,99.2
Paul Millsap,0.562,203.2,114
Paul Pierce,0.575,200.7,106.1
Paul Shirley,0.47,208.3,104.3
Paul Zipser,0.474,203.2,98.9
Pavel Podkolzin,0.446,226.1,117.9
Peja Stojakovic,0.561,208.3,103.9
Pero Antic,0.527,210.8,117.9
Perry Jones III,0.472,210.8,106.6
Peter John Ramos,0.506,221,124.7
Peyton Siva,0.425,182.9,83.9
Phil Pressey,0.425,180.3,79.4
Pierre Jackson,0.416,177.8,81.6
PJ Dozier,0.462,198.1,93
PJ Hairston,0.458,198.1,104.3
PJ Tucker,0.527,198.1,104.9
Pooh Jeter,0.46,180.3,79.4
Pops Mensah-Bonsu,0.453,208.3,107.7
Predrag Drobnjak,0.501,210.8,122.5
Primoz Brezec,0.482,215.9,114.8
Quentin Richardson,0.467,198.1,104.4
Quincy Acy,0.54,200.7,106.9
Quincy Douby,0.477,190.5,79.4
Quincy Miller,0.382,205.7,95.3
Quincy Pondexter,0.525,200.7,102.1
Quinn Cook,0.564,188,81.3
Quinton Ross,0.455,198.1,87.5
Qyntel Woods,0.495,203.2,100
Raef LaFrentz,0.511,210.8,111.1
Rafael Araujo,0.447,210.8,125.5
Rafer Alston,0.487,188,78.6
Raja Bell,0.558,195.6,95.9
Rajon Rondo,0.495,185.4,81.7
Rakeem Christmas,0.765,205.7,113.4
Ramon Sessions,0.521,190.5,86.2
Randolph Morris,0.423,210.8,121.3
Randy Foye,0.519,193,96.8
Rashad McCants,0.512,193,97.3
Rashad Vaughn,0.464,198.1,91.6
Rashard Lewis,0.554,208.3,103.2
Rasheed Wallace,0.51,210.8,104.3
Rasho Nesterovic,0.528,213.4,115.7
Rasual Butler,0.502,200.7,95
Raul Lopez,0.538,182.9,79.4
Raul Neto,0.545,185.4,81.3
Rawle Alkins,0.418,195.6,102.1
Rawle Marshall,0.472,200.7,86.2
Ray Allen,0.593,195.6,93
Ray McCallum,0.461,190.5,86.2
Ray Spalding,0.516,208.3,97.5
Rayjon Tucker,0.448,190.5,94.8
Raymond Felton,0.496,185.4,91.9
Reece Gaines,0.434,198.1,93
Reggie Bullock,0.531,200.7,93
Reggie Evans,0.503,203.2,111.1
Reggie Hearn,0.75,195.6,95.3
Reggie Jackson,0.511,190.5,94.3
Reggie Miller,0.582,200.7,88.5
Reggie Williams,0.539,201,86
Renaldo Balkman,0.51,203.2,95.6
Richard Hamilton,0.524,200.7,87.5
Richard Jefferson,0.564,200.7,104.1
Richaun Holmes,0.618,208.3,108.4
Richie Frahm,0.496,195.6,94
Rick Brunson,0.458,193,86.2
Ricky Davis,0.52,200.7,91.5
Ricky Ledo,0.466,200.7,88.5
Ricky Rubio,0.505,193,85.2
RJ Barrett,0.476,198.1,97.1
RJ Hunter,0.387,195.6,83.9
Rob Kurz,0.513,205.7,105.2
Robbie Hummel,0.514,205.7,99.6
Robert Covington,0.56,205.7,98.4
Robert Hite,0.391,188,83.5
Robert Horry,0.485,208.3,108.9
Robert Sacre,0.461,213.4,120.2
Robert Swift,0.495,215.9,114
Robert Traylor,0.461,203.2,128.8
Robert Whaley,0.411,208.3,117.9
Robert Williams III,0.685,208.3,108.2
Robin Lopez,0.567,213.4,118.2
Rod Strickland,0.295,190.5,83.9
Rodions Kurucs,0.55,205.7,99.3
Rodney Buford,0.437,195.6,88.5
Rodney Carney,0.512,200.7,92.5
Rodney Hood,0.552,203.2,94.3
Rodney McGruder,0.521,193,91.9
Rodney Purvis,0.423,193,93
Rodney Rogers,0.462,200.7,122.5
Rodney Stuckey,0.51,195.6,93
Rodney White,0.475,205.7,104.3
Rodrigue Beaubois,0.521,188,82.2
Roger Mason Jr.,0.519,195.6,94.6
Roger Powell,0.258,198.1,99.8
Roko Ukic,0.502,195.6,84.6
Romeo Langford,0.476,193,98
Ron Baker,0.423,193,99.8
Ron Mercer,0.422,200.7,97.5
Ronald Dupree,0.426,200.7,94.8
Rondae Hollis-Jefferson,0.517,200.7,98.2
Ronnie Brewer,0.486,200.7,102.6
Ronnie Price,0.445,188,85.6
Ronny Turiaf,0.51,208.3,112.4
Roy Hibbert,0.523,218.4,125.7
Royal Ivey,0.448,193,94.8
Royce O'Neale,0.57,198.1,102.5
Ruben Patterson,0.542,195.6,101.2
Rudy Fernandez,0.55,198.1,83.9
Rudy Gay,0.538,205.7,104.1
Rudy Gobert,0.634,215.9,112
Rui Hachimura,0.548,203.2,104.3
Russ Smith,0.452,182.9,74.8
Russell Westbrook,0.528,190.5,88.3
Ryan Anderson,0.535,208.3,108.9
Ryan Arcidiacono,0.563,190.5,89.2
Ryan Bowen,0.591,205.7,99.2
Ryan Broekhoff,0.595,200.7,97.5
Ryan Gomes,0.49,200.7,112
Ryan Hollins,0.622,213.4,107
Ryan Humphrey,0.428,203.2,106.6
Ryan Kelly,0.467,210.8,104.3
Salah Mejri,0.622,218.4,108.9
Salim Stoudamire,0.519,185.4,80
Sam Cassell,0.522,190.5,83.9
Sam Dekker,0.401,205.7,104.3
Sam Young,0.48,198.1,100.4
Samaki Walker,0.359,205.7,115.7
Samardo Samuels,0.475,205.7,117.9
Samuel Dalembert,0.55,210.8,113.6
Sarunas Jasikevicius,0.546,193,89.4
Sasha Kaun,0.527,210.8,117.9
Sasha Pavlovic,0.481,200.7,103
Sasha Vujacic,0.502,200.7,90.6
Scot Pollard,0.508,210.8,121.7
Scott Machado,0.679,185.4,93
Scott Padgett,0.47,205.7,108.9
Scott Williams,0.36,208.3,117.9
Sean Kilpatrick,0.534,193,97.5
